Topic,Words,Frequency,Timestamp
-1,"die, der, und, in, den",84,2024-05-19 23:38:24
0,"ukraine, selenskyj, russischen, charkiw, ukrainische",9,2024-05-19 23:38:24
1,"hamas, israel, haftbefehle, israels, netanyahu",16,2024-05-19 23:38:24
2,"trump, merchan, costello, richter, cohen",4,2024-05-19 23:38:24
3,"fc, liga, hansa, bundesliga, trainer",10,2024-05-19 23:38:24
4,"protestcamp, goethe, campus, westend, pfingstmontag",2,2024-05-19 23:38:24
5,"grünheide, tesla, bebauungsplan, hektar, erweiterung",3,2024-05-19 23:38:24
6,"korte, köhler, homeoffice, zahl, mehr",5,2024-05-19 23:38:24
7,"mann, polizei, männer, park, ermittelt",10,2024-05-19 23:38:24
8,"tiere, erdmännchen, schlangen, biologe, gegengift",5,2024-05-19 23:38:24
9,"eu, union, europäischen, mat, rechtsstaatlichkeit",3,2024-05-19 23:38:24
10,"ausstellungsstücke, kälberer, naturkundemuseum, joseph, lebendig",1,2024-05-19 23:38:24
11,"zverev, rom, french, alexander, open",5,2024-05-19 23:38:24
12,"bahn, notbremsung, lokführer, verspätung, grund",7,2024-05-19 23:38:24
13,"raisi, iran, iranischen, tod, irans",40,2024-05-19 23:38:24
14,"costner, horizon, linklater, moore, sex",4,2024-05-19 23:38:24
15,"mieter, kaution, vermieter, mietkaution, standards",3,2024-05-19 23:38:24
16,"salman, bamian, fleximan, afghanistan, könig",3,2024-05-19 23:38:24
18,"mining, farmen, venezuela, carabobo, kryptoassets",2,2024-05-19 23:38:24
19,"stolpersteine, straße, potsdam, leipziger, stolpersteinlauf",2,2024-05-19 23:38:24
20,"apple, warentest, watch, stiftung, smartwatches",2,2024-05-19 23:38:24
21,"taiwan, china, taiwans, lai, peking",7,2024-05-19 23:38:24
22,"auto, unfall, beifahrerin, fahrer, polizei",2,2024-05-19 23:38:24
23,"freyer, trainer, kompany, fc, bayern",4,2024-05-19 23:38:24
25,"wasserstraßen, flutgebiet, straßen, bilder, wenn",1,2024-05-19 23:38:24
28,"365, datenschutzbeauftragten, microsoft, workshop, hochschule",2,2024-05-19 23:38:24
29,"grundgesetz, papier, politik, bundesverfassungsgerichts, verfassung",2,2024-05-19 23:38:24
30,"merz, klingbeil, kanzlerkandidat, favorisiert, cdu",1,2024-05-19 23:38:24
31,"antarktis, meereis, scheer, klimawandel, antarktische",3,2024-05-19 23:38:24
